식품명,식품대분류명,영양성분함량기준량,에너지(kcal)
피자_더블치즈 피자 씬도우 (R),빵 및 과자류,100g,333
피자_더블치즈 피자 치즈링 (G),빵 및 과자류,100g,273
피자_더블치즈 피자 치즈링 (L),빵 및 과자류,100g,273
피자_더블치즈 피자 치즈링 (R),빵 및 과자류,100g,272
피자_더블콤비네이션 피자 (L),빵 및 과자류,100g,239
피자_더블페파로니폭탄 피자 (L),빵 및 과자류,100g,219
피자_더블페퍼로니 피자 (L),빵 및 과자류,100g,281
피자_더블페퍼로니 피자,빵 및 과자류,100g,301
피자_더블포테이토 피자 (L),빵 및 과자류,100g,213
피자_더블포테이토 피자 (L),빵 및 과자류,100g,247
피자_더블포테이토 피자 (L),빵 및 과자류,100g,250
피자_더블포테이토 피자 오리지널 (M),빵 및 과자류,100g,279
피자_더블핫치킨폭탄 피자 (L),빵 및 과자류,100g,159
피자_도이치바이트 피자,빵 및 과자류,100g,258
피자_도이치 피자 밀도우 (L),빵 및 과자류,100g,101
피자_더블치즈 스테이크 피자 리치골드 (L),빵 및 과자류,100g,248
피자_더블치즈 스테이크 피자 리치골드 (M),빵 및 과자류,100g,246
피자_더블치즈 스테이크 피자 치즈크러스트 (L),빵 및 과자류,100g,247
피자_더블치즈 스테이크 피자 치즈크러스트 (M),빵 및 과자류,100g,248
피자_더블치즈버거 피자 (F),빵 및 과자류,100g,289
피자_더블치즈버거 피자 (L),빵 및 과자류,100g,290
피자_더블치즈버거 피자 (P),빵 및 과자류,100g,290
피자_더블치즈베이컨 피자 (L),빵 및 과자류,100g,249
피자_더블치즈불고기 피자 (L),빵 및 과자류,100g,233
피자_더블치즈폭탄 피자 (L),빵 및 과자류,100g,233
피자_더블치즈 피자 (L),빵 및 과자류,100g,274
피자_더블치즈 피자 (L),빵 및 과자류,100g,290
피자_더블치즈 피자 골드스윗 (G),빵 및 과자류,100g,281
피자_더블치즈 피자 골드스윗 (L),빵 및 과자류,100g,281
피자_더블치즈 피자 골드스윗 (R),빵 및 과자류,100g,281
피자_더블치즈 피자 리코타링 (G),빵 및 과자류,100g,283
피자_더블치즈 피자 리코타링 (L),빵 및 과자류,100g,282
피자_더블치즈 피자 리코타링 (R),빵 및 과자류,100g,283
기타차_스노우코코 핫(HOT) (L),음료 및 차류,100ml,0
피자_대만감자 피자 (L),빵 및 과자류,100g,235
피자_대새 피자 (L),빵 및 과자류,100g,227
피자_대새 피자 (R),빵 및 과자류,100g,231
피자_더블갈릭바베큐 피자,빵 및 과자류,100g,271
피자_더블바베큐 불고기 피자 밀도우 (L),빵 및 과자류,100g,101
피자_더블바베큐 불고기 피자 밀도우 (R),빵 및 과자류,100g,67
피자_더블바베큐 불고기 피자 씬도우 (L),빵 및 과자류,100g,101
피자_더블바베큐 불고기 피자 씬도우 (R),빵 및 과자류,100g,67
피자_더블바베큐 피자 (L),빵 및 과자류,100g,237
피자_더블바베큐 피자 (L),빵 및 과자류,100g,237
피자_더블바베큐 피자 (L),빵 및 과자류,100g,237
피자_더블바베큐피자 (L),빵 및 과자류,100g,246
피자_더블불고기폭탄 피자 (L),빵 및 과자류,100g,160
피자_더블불고기 피자 오리지널 (M),빵 및 과자류,100g,257
피자_더블스테이크 피자 (L),빵 및 과자류,100g,257
피자_더블스테이크 피자 (R),빵 및 과자류,100g,259
피자_더블체다치즈버거 피자 (F),빵 및 과자류,100g,272
피자_더블체다치즈버거 피자 (L),빵 및 과자류,100g,273
피자_더블체다치즈버거 피자 (P),빵 및 과자류,100g,273
피자_단호박 피자 팬 (F),빵 및 과자류,100g,264
피자_단호박 피자 팬 (L),빵 및 과자류,100g,266
피자_단호박 피자 팬 (R),빵 및 과자류,100g,267
피자_달짝핫도그 피자 밀도우 (L),빵 및 과자류,100g,125
피자_달짝핫도그 피자 밀도우 (R),빵 및 과자류,100g,92
피자_달짝핫도그 피자 씬도우 (L),빵 및 과자류,100g,129
피자_달짝핫도그 피자 씬도우 (R),빵 및 과자류,100g,86
피자_달콤고구마 피자 (L),빵 및 과자류,100g,165
피자_달콤고구마 피자,빵 및 과자류,100g,236
피자_달콤구마 피자,빵 및 과자류,100g,273
피자_달콤딥고구마 피자 밀도우 (L),빵 및 과자류,100g,119
피자_달콤딥고구마 피자 밀도우 (R),빵 및 과자류,100g,79
피자_달콤딥고구마 피자 씬도우 (L),빵 및 과자류,100g,119
피자_달콤딥고구마 피자 씬도우 (R),빵 및 과자류,100g,79
피자_달콤한나의고구마피자(L),빵 및 과자류,100g,240
피자_달 피자 (L),빵 및 과자류,100g,333
피자_닭발 피자 (L),빵 및 과자류,100g,253
피자_닭발 피자 (XL),빵 및 과자류,100g,295
피자_닭안심살 피자,빵 및 과자류,100g,234
피자_단호박 피자 (L),빵 및 과자류,100g,223
피자_단호박 피자 (L),빵 및 과자류,100g,243
피자_단호박 피자 (L),빵 및 과자류,100g,288
피자_단호박 피자 (M),빵 및 과자류,100g,212
피자_단호박 피자 (R),빵 및 과자류,100g,242
피자_단호박 피자 라이스골드 (F),빵 및 과자류,100g,254
피자_단호박 피자 라이스골드 (L),빵 및 과자류,100g,267
피자_단호박 피자 라이스골드 (R),빵 및 과자류,100g,273
피자_단호박 피자 라이스바이트 (F),빵 및 과자류,100g,262
피자_단호박 피자 라이스바이트 (L),빵 및 과자류,100g,269
피자_단호박 피자 백미 (L),빵 및 과자류,100g,192
피자_단호박 피자 백미 (R),빵 및 과자류,100g,194
피자_단호박 피자 석쇠 (F),빵 및 과자류,100g,257
피자_단호박 피자 석쇠 (L),빵 및 과자류,100g,259
피자_단호박 피자 석쇠 (R),빵 및 과자류,100g,261
피자_단호박 피자 치즈크러스트 (F),빵 및 과자류,100g,258
피자_단호박 피자 치즈크러스트 (L),빵 및 과자류,100g,267
피자_단호박 피자 치즈크러스트 (R),빵 및 과자류,100g,274
기타차_허니 캐모마일 아이스(ICED),음료 및 차류,100ml,1
피자_뉴그릴드치킨 피자 치즈크러스트 (L),빵 및 과자류,100g,218
피자_뉴그릴드치킨 피자 치즈크러스트 (R),빵 및 과자류,100g,217
피자_뉴그릴드치킨 피자 팬 (L),빵 및 과자류,100g,222
피자_뉴그릴드치킨 피자 팬 (R),빵 및 과자류,100g,224
피자_뉴그릴드치킨 피자 흑미스크린 (L),빵 및 과자류,100g,214
피자_뉴그릴드치킨 피자 흑미스크린 (R),빵 및 과자류,100g,208
피자_뉴그릴드치킨 피자 흑미스크린치즈크러스트 (L),빵 및 과자류,100g,208
피자_뉴그릴드치킨 피자 흑미스크린치즈크러스트 (R),빵 및 과자류,100g,202
피자_뉴욕소세지 피자 오리지널 (M),빵 및 과자류,100g,287
피자_뉴욕스테이크 피자 (L),빵 및 과자류,100g,164
피자_뉴욕 오리진 피자 오리지널 (L),빵 및 과자류,100g,251
피자_뉴욕 오리진 피자 트리플치즈버스트 엣지 (L),빵 및 과자류,100g,242
피자_뉴욕핫독 피자 (L),빵 및 과자류,100g,249
피자_뉴욕핫독 피자 (R),빵 및 과자류,100g,250
피자_뉴클리어 피자 (L),빵 및 과자류,100g,245
피자_다넣었어 피자 (L),빵 및 과자류,100g,93
피자_다이나믹고구마무스 피자 (L),빵 및 과자류,100g,291
피자_단호박 피자 (L),빵 및 과자류,100g,209
기타차_한라봉차 (R),음료 및 차류,100ml,45
피자_뉴그릴드치킨 피자 고구마크러스트 (L),빵 및 과자류,100g,220
피자_뉴그릴드치킨 피자 고구마크러스트 (R),빵 및 과자류,100g,220
피자_뉴그릴드치킨 피자 밀스크린 (L),빵 및 과자류,100g,227
피자_뉴그릴드치킨 피자 밀스크린 (R),빵 및 과자류,100g,221
피자_뉴그릴드치킨 피자 밀스크린고구마크러스트 (L),빵 및 과자류,100g,224
피자_뉴그릴드치킨 피자 밀스크린고구마크러스트 (R),빵 및 과자류,100g,216
피자_뉴그릴드치킨 피자 밀스크린체다크림크러스트 (L),빵 및 과자류,100g,225
피자_뉴그릴드치킨 피자 밀스크린체다크림크러스트 (R),빵 및 과자류,100g,220
피자_뉴그릴드치킨 피자 밀스크린치즈크러스트 (L),빵 및 과자류,100g,220
피자_뉴그릴드치킨 피자 밀스크린치즈크러스트 (R),빵 및 과자류,100g,213
피자_뉴그릴드치킨 피자 백미스크린 (L),빵 및 과자류,100g,221
피자_뉴그릴드치킨 피자 백미스크린 (R),빵 및 과자류,100g,213
피자_뉴그릴드치킨 피자 백미스크린치즈크러스트 (L),빵 및 과자류,100g,213
피자_뉴그릴드치킨 피자 백미스크린치즈크러스트 (R),빵 및 과자류,100g,207
피자_뉴그릴드치킨 피자 씬 (L),빵 및 과자류,100g,238
피자_뉴그릴드치킨 피자 씬 (R),빵 및 과자류,100g,239
피자_뉴그릴드치킨 피자 체다크림크러스트 (L),빵 및 과자류,100g,223
피자_뉴그릴드치킨 피자 체다크림크러스트 (R),빵 및 과자류,100g,223
피자_나폴리슈림프 피자,빵 및 과자류,100g,214
피자_나폴리 피자,빵 및 과자류,100g,241
피자_날개 피자 (L),빵 및 과자류,100g,268
피자_날밤새우게 피자 (L),빵 및 과자류,100g,218
피자_날밤새우게 피자 (R),빵 및 과자류,100g,218
피자_넌필수있어 피자 (L),빵 및 과자류,100g,293
피자_놀부단호박 피자 골드스윗 (L),빵 및 과자류,100g,257
피자_놀부단호박 피자 골드스윗 (R),빵 및 과자류,100g,256
피자_놀부단호박 피자 리코타링 (L),빵 및 과자류,100g,256
피자_놀부단호박 피자 리코타링 (R),빵 및 과자류,100g,257
피자_놀부단호박 피자 석쇠 (L),빵 및 과자류,100g,250
피자_놀부단호박 피자 석쇠 (R),빵 및 과자류,100g,251
피자_놀부단호박 피자 씬도우 (L),빵 및 과자류,100g,287
피자_놀부단호박 피자 씬도우 (R),빵 및 과자류,100g,269
피자_놀부단호박 피자 치즈링 (L),빵 및 과자류,100g,249
피자_놀부단호박 피자 치즈링 (R),빵 및 과자류,100g,249
피자_눈꽃열차 피자 (L),빵 및 과자류,100g,279
피자_눈꽃열차 피자 (R),빵 및 과자류,100g,279
피자_눈꽃치즈스테이크 피자 (L),빵 및 과자류,100g,237
피자_그릴드포크벨리 피자 (L),빵 및 과자류,100g,251
피자_까르보나라 피자 (L),빵 및 과자류,100g,243
피자_까르보네 피자,빵 및 과자류,100g,253
피자_깐쇼불갈비 피자 골드스윗 (L),빵 및 과자류,100g,261
피자_깐쇼불갈비 피자 골드스윗 (R),빵 및 과자류,100g,260
피자_깐쇼불갈비 피자 리코타링 (L),빵 및 과자류,100g,260
피자_깐쇼불갈비 피자 리코타링 (R),빵 및 과자류,100g,262
피자_깐쇼불갈비 피자 석쇠 (L),빵 및 과자류,100g,254
피자_깐쇼불갈비 피자 석쇠 (R),빵 및 과자류,100g,254
피자_깐쇼불갈비 피자 씬도우 (L),빵 및 과자류,100g,288
피자_깐쇼불갈비 피자 씬도우 (R),빵 및 과자류,100g,264
피자_깐쇼불갈비 피자 치즈링 (L),빵 및 과자류,100g,253
피자_깐쇼불갈비 피자 치즈링 (R),빵 및 과자류,100g,252
피자_깐쇼새우 피자,빵 및 과자류,100g,305
피자_꽃맛살쉬림프 피자 (XL),빵 및 과자류,100g,260
피자_꿀고구마 피자 (L),빵 및 과자류,100g,231
피자_꿀고구마 피자 바이트 (L),빵 및 과자류,100g,231
피자_꿈을 피자 (L),빵 및 과자류,100g,233
피자_꿈을 피자 (R),빵 및 과자류,100g,250
피자_골드스테이크불갈비 피자 (L),빵 및 과자류,100g,263
피자_골드스테이크 피자 (L),빵 및 과자류,100g,357
피자_골드이탈리안치즈 피자 (L),빵 및 과자류,100g,280
피자_골드체다소세지 피자 (L),빵 및 과자류,100g,255
피자_골드콤비네이션 피자 (L),빵 및 과자류,100g,250
피자_골드투움바파스타 피자 (L),빵 및 과자류,100g,242
피자_골드트러플버섯 피자 (L),빵 및 과자류,100g,262
피자_골드페파로니 피자 (L),빵 및 과자류,100g,286
피자_골드포테이토 피자 (L),빵 및 과자류,100g,263
피자_골드프리미엄 불고기 피자 (L),빵 및 과자류,100g,377
피자_골드하와이언쉬림프 피자 (L),빵 및 과자류,100g,232
피자_골드핫치킨 피자 (L),빵 및 과자류,100g,371
피자_골든치즈볼 피자 (L),빵 및 과자류,100g,307
피자_골든큐브스테이크 피자,빵 및 과자류,100g,215
피자_과카몰리 비프 쉬림프 피자,빵 및 과자류,100g,249
피자_관자네 온 새우 피자 (L),빵 및 과자류,100g,219
피자_관자네 온 새우 피자 (M),빵 및 과자류,100g,229
피자_궁중불고기 피자 (L),빵 및 과자류,100g,260
기타차_한라봉차 (L),음료 및 차류,100ml,35
피자_고르곤졸라 피자 치즈링 (R),빵 및 과자류,100g,301
피자_고르곤졸라 피자,빵 및 과자류,100g,276
피자_고르곤졸라 피자,빵 및 과자류,100g,322
피자_고르곤졸라 피자,빵 및 과자류,100g,280
피자_고르곤졸라 피자,빵 및 과자류,100g,303
피자_고르곤졸라 피자 씬 (L),빵 및 과자류,100g,293
피자_고르곤졸라 피자 씬 (R),빵 및 과자류,100g,295
피자_고소포테이토 피자 (L),빵 및 과자류,100g,187
피자_고스트페퍼로니 피자 (L),빵 및 과자류,100g,269
피자_골드고구마 피자 (L),빵 및 과자류,100g,283
피자_골드고구마 피자 오리지널 (M),빵 및 과자류,100g,292
피자_골드꿀고구마 피자 (L),빵 및 과자류,100g,239
피자_골드바베큐치킨 피자 (L),빵 및 과자류,100g,252
피자_골드바베큐필레 피자 (L),빵 및 과자류,100g,278
피자_골드베스트 피자 (L),빵 및 과자류,100g,266
피자_골드베이컨 피자 (L),빵 및 과자류,100g,378
피자_골드불고기 피자 (L),빵 및 과자류,100g,253
피자_골드스윗하새우 피자 (L),빵 및 과자류,100g,292
기타차_한라봉티 핫(HOT),음료 및 차류,100ml,45
피자_고르곤졸라 피자 (L),빵 및 과자류,100g,238
피자_고르곤졸라 피자 (L),빵 및 과자류,100g,374
피자_고르곤졸라 피자 (L),빵 및 과자류,100g,503
피자_고르곤졸라 피자 (M),빵 및 과자류,100g,310
피자_고르곤졸라 피자 (R),빵 및 과자류,100g,329
피자_고르곤졸라 피자 (XL),빵 및 과자류,100g,276
피자_고르곤졸라 피자 골드스윗 (G),빵 및 과자류,100g,303
피자_고르곤졸라 피자 골드스윗 (L),빵 및 과자류,100g,309
피자_고르곤졸라 피자 골드스윗 (R),빵 및 과자류,100g,306
피자_고르곤졸라 피자 리코타링 (G),빵 및 과자류,100g,310
피자_고르곤졸라 피자 리코타링 (L),빵 및 과자류,100g,314
피자_고르곤졸라 피자 리코타링 (R),빵 및 과자류,100g,315
피자_고르곤졸라 피자 석쇠 (G),빵 및 과자류,100g,308
피자_고르곤졸라 피자 석쇠 (L),빵 및 과자류,100g,314
피자_고르곤졸라 피자 석쇠 (R),빵 및 과자류,100g,315
피자_고르곤졸라 피자 씬도우 (L),빵 및 과자류,100g,366
피자_고르곤졸라 피자 씬도우 (R),빵 및 과자류,100g,373
피자_고르곤졸라 피자 치즈링 (G),빵 및 과자류,100g,296
피자_고르곤졸라 피자 치즈링 (L),빵 및 과자류,100g,301
피자_고구마 피자 팬 (L),빵 및 과자류,100g,248
피자_고구마 피자 팬 (L),빵 및 과자류,100g,235
피자_고구마 피자 팬 (R),빵 및 과자류,100g,251
피자_고구마 피자 팬 (R),빵 및 과자류,100g,238
피자_고구마 피자 흑미스크린 (L),빵 및 과자류,100g,229
피자_고구마 피자 흑미스크린 (R),빵 및 과자류,100g,224
피자_고구마 피자 흑미스크린치즈크러스트 (L),빵 및 과자류,100g,221
피자_고구마 피자 흑미스크린치즈크러스트 (R),빵 및 과자류,100g,216
피자_고구마 피자,빵 및 과자류,100g,245
피자_고구마 피자 씬 (R),빵 및 과자류,100g,239
피자_고구마 피자,빵 및 과자류,100g,258
피자_고기밭피자 (L),빵 및 과자류,100g,272
피자_고르곤졸라 (L),빵 및 과자류,100g,364
피자_고르곤졸라 피자,빵 및 과자류,100g,384
피자_고르곤졸라 피자 (L),빵 및 과자류,100g,358
피자_고르곤졸라 피자 (L),빵 및 과자류,100g,306
피자_고르곤졸라 피자 (L),빵 및 과자류,100g,262
피자_고르곤졸라 피자 (L),빵 및 과자류,100g,312
피자_고르곤졸라 피자 (L),빵 및 과자류,100g,364
피자_고구마 피자 석쇠 (F),빵 및 과자류,100g,240
피자_고구마 피자 석쇠 (L),빵 및 과자류,100g,257
피자_고구마 피자 석쇠 (L),빵 및 과자류,100g,242
피자_고구마 피자 석쇠 (R),빵 및 과자류,100g,258
피자_고구마 피자 석쇠 (R),빵 및 과자류,100g,244
피자_고구마 피자 씬 (L),빵 및 과자류,100g,238
피자_고구마 피자 씬도우 (L),빵 및 과자류,100g,278
피자_고구마 피자 씬도우 (R),빵 및 과자류,100g,272
피자_고구마 피자 체다크림크러스트 (L),빵 및 과자류,100g,233
피자_고구마 피자 체다크림크러스트 (R),빵 및 과자류,100g,233
피자_고구마 피자 치즈링 (L),빵 및 과자류,100g,255
피자_고구마 피자 치즈링 (R),빵 및 과자류,100g,255
피자_고구마 피자 치즈크러스트 (F),빵 및 과자류,100g,242
피자_고구마 피자 치즈크러스트 (L),빵 및 과자류,100g,253
피자_고구마 피자 치즈크러스트 (L),빵 및 과자류,100g,230
피자_고구마 피자 치즈크러스트 (R),빵 및 과자류,100g,261
피자_고구마 피자 치즈크러스트 (R),빵 및 과자류,100g,227
피자_고구마 피자 팬 (F),빵 및 과자류,100g,248
기타차_한라봉티 아이스(ICED),음료 및 차류,100ml,55
피자_고구마 피자 라이스바이트 (F),빵 및 과자류,100g,248
피자_고구마 피자 라이스바이트 (L),빵 및 과자류,100g,257
피자_고구마 피자 리코타링 (L),빵 및 과자류,100g,263
피자_고구마 피자 리코타링 (R),빵 및 과자류,100g,264
피자_고구마 피자 밀스크린 (L),빵 및 과자류,100g,240
피자_고구마 피자 밀스크린 (R),빵 및 과자류,100g,234
피자_고구마 피자 밀스크린고구마크러스트 (L),빵 및 과자류,100g,236
피자_고구마 피자 밀스크린고구마크러스트 (R),빵 및 과자류,100g,231
피자_고구마 피자 밀스크린체다크림크러스트 (L),빵 및 과자류,100g,237
피자_고구마 피자 밀스크린체다크림크러스트 (R),빵 및 과자류,100g,231
피자_고구마 피자 밀스크린치즈크러스트 (L),빵 및 과자류,100g,233
피자_고구마 피자 밀스크린치즈크러스트 (R),빵 및 과자류,100g,225
피자_고구마 피자 백미 (L),빵 및 과자류,100g,177
피자_고구마 피자 백미 (R),빵 및 과자류,100g,181
피자_고구마 피자 백미스크린 (L),빵 및 과자류,100g,233
피자_고구마 피자 백미스크린 (R),빵 및 과자류,100g,229
피자_고구마 피자 백미스크린치즈크러스트 (L),빵 및 과자류,100g,227
피자_고구마 피자 백미스크린치즈크러스트 (R),빵 및 과자류,100g,221
피자_고구마 피자 (L),빵 및 과자류,100g,252
피자_고구마 피자 (L),빵 및 과자류,100g,252
피자_고구마 피자 (L),빵 및 과자류,100g,252
피자_고구마 피자 (L),빵 및 과자류,100g,225
피자_고구마 피자 (L),빵 및 과자류,100g,229
피자_고구마 피자 (L),빵 및 과자류,100g,252
피자_고구마 피자 (L),빵 및 과자류,100g,292
피자_고구마 피자 (L),빵 및 과자류,100g,307
피자_고구마 피자 (L),빵 및 과자류,100g,271
피자_고구마 피자 (M),빵 및 과자류,100g,229
피자_고구마 피자 (R),빵 및 과자류,100g,253
피자_고구마 피자 (XL),빵 및 과자류,100g,242
피자_고구마 피자 고구마크러스트 (L),빵 및 과자류,100g,232
피자_고구마 피자 고구마크러스트 (R),빵 및 과자류,100g,235
피자_고구마 피자 골드스윗 (L),빵 및 과자류,100g,263
피자_고구마 피자 골드스윗 (R),빵 및 과자류,100g,262
피자_고구마 피자 라이스골드 (F),빵 및 과자류,100g,240
피자_고구마 피자 라이스골드 (L),빵 및 과자류,100g,254
피자_고구마 피자 라이스골드 (R),빵 및 과자류,100g,261
피자_갈릭홀릭 피자 (R),빵 및 과자류,100g,285
피자_갈비앤치킨 피자 씬 (L),빵 및 과자류,100g,207
피자_갈비앤치킨 피자 씬 (R),빵 및 과자류,100g,206
피자_감자베이컨 피자 (L),빵 및 과자류,100g,285
피자_감자별한웅큼피자 (L),빵 및 과자류,100g,248
피자_감자 피자,빵 및 과자류,100g,264
피자_강냉이털어 피자 (L),빵 및 과자류,100g,268
피자_걱정말아요허니 피자 (L),빵 및 과자류,100g,272
피자_고객의실수 피자 (L),빵 및 과자류,100g,259
피자_고객의실수 피자 (R),빵 및 과자류,100g,260
피자_고구마랍스터볼크림 피자 (L),빵 및 과자류,100g,266
피자_고구마무스 베이컨 피자 (L),빵 및 과자류,100g,231
피자_고구마무스 피자 (L),빵 및 과자류,100g,222
피자_고구마무스 피자 (L),빵 및 과자류,100g,216
피자_고구마무스 피자 (M),빵 및 과자류,100g,212
피자_고구마 베이컨 피자 (L),빵 및 과자류,100g,248
피자_고구마베이컨 피자 (L),빵 및 과자류,100g,238
피자_고구마스위트 피자 (L),빵 및 과자류,100g,277
피자_고구마파인애플 피자 (L),빵 및 과자류,100g,250
피자_가든스페셜 피자 (R),빵 및 과자류,100g,214
피자_갈릭 버터 쉬림프 피자 리치골드 (L),빵 및 과자류,100g,244
피자_갈릭 버터 쉬림프 피자 리치골드 (M),빵 및 과자류,100g,274
피자_갈릭 버터 쉬림프 피자 치즈크러스트 (L),빵 및 과자류,100g,241
피자_갈릭 버터 쉬림프 피자 치즈크러스트 (M),빵 및 과자류,100g,242
피자_갈릭베이컨체다치즈 피자 (L),빵 및 과자류,100g,188
피자_갈릭베이컨포테이토 피자 (L),빵 및 과자류,100g,245
피자_갈릭비프스테이크 피자 (L),빵 및 과자류,100g,208
피자_갈릭비프스테이크 피자 (M),빵 및 과자류,100g,197
피자_갈릭쉬림프 피자 (L),빵 및 과자류,100g,88
피자_갈릭쉬림프 피자 오리지널 (M),빵 및 과자류,100g,262
피자_갈릭스테이크쉬림프 피자 (L),빵 및 과자류,100g,147
피자_갈릭스테이크 피자 (L),빵 및 과자류,100g,276
피자_갈릭스테이크 피자 오리지널 (M),빵 및 과자류,100g,258
피자_갈릭페퍼스테이크 피자 (F),빵 및 과자류,100g,267
피자_갈릭페퍼스테이크 피자 (L),빵 및 과자류,100g,267
피자_갈릭페퍼스테이크 피자 (P),빵 및 과자류,100g,265
피자_갈릭홀릭 피자 (L),빵 및 과자류,100g,286
기타차_하동매실피치티 핫(HOT),음료 및 차류,100ml,53
피자_7번가스페셜 피자 골드스윗 (L),빵 및 과자류,100g,266
피자_7번가스페셜 피자 골드스윗 (R),빵 및 과자류,100g,265
피자_7번가스페셜 피자 리코타링 (L),빵 및 과자류,100g,266
피자_7번가스페셜 피자 리코타링 (R),빵 및 과자류,100g,267
피자_7번가스페셜 피자 석쇠 (L),빵 및 과자류,100g,261
피자_7번가스페셜 피자 석쇠 (R),빵 및 과자류,100g,261
피자_7번가스페셜 피자 씬도우 (L),빵 및 과자류,100g,278
피자_7번가스페셜 피자 씬도우 (R),빵 및 과자류,100g,264
피자_7번가스페셜 피자 치즈링 (L),빵 및 과자류,100g,259
피자_7번가스페셜 피자 치즈링 (R),빵 및 과자류,100g,257
피자_BBQ리얼 시카고 피자 (L),빵 및 과자류,100g,255
피자_BBQ불고기 피자 마니아 에어도우 (L),빵 및 과자류,100g,256
피자_BBQ불고기 피자 마니아 에어도우 (M),빵 및 과자류,100g,250
피자_BBQ불고기 피자 마니아 파마산엣지 (L),빵 및 과자류,100g,247
피자_BBQ불고기 피자 마니아 파마산엣지 (M),빵 및 과자류,100g,250
피자_가든스페셜 피자 (F),빵 및 과자류,100g,214
피자_가든스페셜 피자 (L),빵 및 과자류,100g,213
피자_가든스페셜 피자 (P),빵 및 과자류,100g,214
기타차_하동매실피치티 아이스(ICED),음료 및 차류,100ml,41
프레즐_페퍼로니 프레즐,빵 및 과자류,100g,216
프레즐_페퍼로니 프레즐,빵 및 과자류,100g,322
프레즐_프레즐,빵 및 과자류,100g,253
프레즐_플레인 프레즐,빵 및 과자류,100g,268
프레즐_할라피뇨 도그 프레즐,빵 및 과자류,100g,243
프레즐_햄치즈 프레첼,빵 및 과자류,100g,285
프레즐_갈릭스틱,빵 및 과자류,100g,350
프레즐_압구정 프레첼,빵 및 과자류,100g,470
프레즐_어니언스틱,빵 및 과자류,100g,322
프레즐_크림치즈 프레즐,빵 및 과자류,100g,253
피자_샘스테이크 피자 골드스윗 (R),빵 및 과자류,100g,279
피자_샘스테이크 피자 석쇠 (L),빵 및 과자류,100g,278
피자_1988 피자 (L),빵 및 과자류,100g,255
피자_1992브로 피자 (L),빵 및 과자류,100g,277
피자_2in1(한우불고기+밤스위트골드) 피자 (L),빵 및 과자류,100g,272
피자_2in1(한우불고기+밤스위트골드) 피자 (F),빵 및 과자류,100g,258
피자_2in1(한우불고기+밤스위트골드) 피자 (R),빵 및 과자류,100g,279
피자_4색 피자 (L),빵 및 과자류,100g,342
피자_4색 피자 (R),빵 및 과자류,100g,271
프레즐_아몬드스틱,빵 및 과자류,100g,340
프레즐_아몬드크림치즈스틱,빵 및 과자류,100g,315
프레즐_아몬드 프레즐,빵 및 과자류,100g,339
프레즐_어니언 프레즐,빵 및 과자류,100g,308
프레즐_오곡 프레즐,빵 및 과자류,100g,308
프레즐_오리지날 프레즐,빵 및 과자류,100g,315
프레즐_오리지널 프레즐,빵 및 과자류,100g,268
프레즐_오리지널스틱,빵 및 과자류,100g,342
프레즐_초코 프레즐,빵 및 과자류,100g,407
프레즐_커스타드 프레즐,빵 및 과자류,100g,378
프레즐_콘 샐러드 프레즐,빵 및 과자류,100g,215
프레즐_콘 프레즐,빵 및 과자류,100g,242
프레즐_크림치즈 프레즐,빵 및 과자류,100g,149
프레즐_크림치즈 프레즐,빵 및 과자류,100g,272
프레즐_크림치즈 프레즐,빵 및 과자류,100g,315
프레즐_크림치즈 프렛즐,빵 및 과자류,100g,253
프레즐_크림치즈스틱,빵 및 과자류,100g,301
프레즐_크림치즈 프레즐,빵 및 과자류,100g,253
프레즐_파마산허브 프레즐,빵 및 과자류,100g,312
페이스트리_갈릭고구마페스츄리,빵 및 과자류,100g,329
페이스트리_롤링 페이스트리,빵 및 과자류,100g,383
페이스트리_미니소시지페스츄리,빵 및 과자류,100g,396
페이스트리_스위트밤블랑,빵 및 과자류,100g,413
페이스트리_오렌지 페이스트리,빵 및 과자류,100g,277
페이스트리_오코노미야키 페이스트리,빵 및 과자류,100g,241
페이스트리_청포도 페이스트리,빵 및 과자류,100g,276
페이스트리_촉촉한몽블랑,빵 및 과자류,100g,397
페이스트리_크림치즈데니쉬,빵 및 과자류,100g,384
페이스트리_페이스트리 앙버터,빵 및 과자류,100g,449
페이스트리_프렌치뀐아망,빵 및 과자류,100g,485
프레즐_갈릭 프레즐,빵 및 과자류,100g,309
프레즐_고구마 프레즐,빵 및 과자류,100g,268
프레즐_도그 프레즐,빵 및 과자류,100g,167
프레즐_버터 프레첼,빵 및 과자류,100g,350
프레즐_불고기 프레즐,빵 및 과자류,100g,267
프레즐_시나몬슈가스틱,빵 및 과자류,100g,345
프레즐_시나몬슈가 프레즐,빵 및 과자류,100g,354
기타차_체리 히비스커스티 핫(HOT) (ML),음료 및 차류,100ml,25
페이스트리_시나몬페스트리,빵 및 과자류,100g,411
페이스트리_에그베이컨페이스트리,빵 및 과자류,100g,365
페이스트리_오름 치즈 케이츄리,빵 및 과자류,100g,399
페이스트리_쟌슨빌소시지페이스트리,빵 및 과자류,100g,275
페이스트리_정통소시지데니쉬,빵 및 과자류,100g,351
페이스트리_쫀득한페스트리,빵 및 과자류,100g,327
페이스트리_초코 퐁당 마마츄리,빵 및 과자류,100g,327
페이스트리_치즈소시지페스츄리,빵 및 과자류,100g,355
페이스트리_콘 치즈 데니쉬,빵 및 과자류,100g,476
